============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(122 MeV) ==> Upper Be+He Gas+Lower Be( 8.02 mm) ========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z)
T    1  8 .1091961E+09   8020000E+01 -.9039E+05 -.8007E+04   .9999985 -.0011119  .0013257
T    2  8 .1095129E+09   8020000E+01 -.3867E+05  .6719E+05   .9999964 -.0018813  .0019365
T    3  8 .1097051E+09   8020000E+01  .5653E+05 -.3273E+05   .9999986 -.0014392 -.0008902
T    4  8 .1097484E+09   8020000E+01  .3078E+05  .4400E+05   .9999993  .0009087  .0007375
T    5  8 .1093549E+09   8020000E+01 -.2097E+06 -.6087E+05   .9999966 -.0023880 -.0010492
T    6  8 .1094488E+09   8020000E+01 -.9587E+05 -.1691E+06   .9999966 -.0012554 -.0022664
T    7  8 .1094671E+09   8020000E+01 -.1147E+06  .1036E+06   .9999977 -.0020626  .0005522
T    8  8 .1095305E+09   8020000E+01 -.2049E+06 -.3419E+05   .9999907 -.0043200 -.0001894
T    9  8 .1096185E+09   8020000E+01 -.9816E+05 -.1389E+06   .9999976  .0000788 -.0021951
T   10  8 .1092787E+09   8020000E+01 -.1678E+06  .1653E+06   .9999934 -.0036126 -.0004340
T   11  8 .1093050E+09   8020000E+01  .1229E+06  .1535E+06   .9999872  .0031045  .0040077
T   12  8 .1094378E+09   8020000E+01 -.1992E+05 -.9085E+05   .9999974  .0016154 -.0015994
T   13  8 .1095790E+09   8020000E+01  .1579E+05  .2206E+06   .9999972  .0004629  .0023023
T   14  8 .1096430E+09   8020000E+01  .1158E+06  .7535E+05   .9999985  .0016963 -.0002038
T   15  8 .1092368E+09   8020000E+01  .1224E+06 -.7040E+05   .9999994  .0009331 -.0006219
T   16  8 .1092678E+09   8020000E+01 -.3274E+06  .3661E+06   .9999782 -.0034121  .0056533
T   17  8 .1093391E+09   8020000E+01 -.1762E+05  .1677E+06   .9999988 -.0011167 -.0010485
T   18  8 .1096563E+09   8020000E+01  .5843E+05 -.3695E+06   .9999887  .0036694 -.0030112
T   19  8 .1096391E+09   8020000E+01  .1237E+06  .2288E+05   .9999950  .0030991  .0006942
T   20  8 .1095768E+09   8020000E+01 -.2791E+06 -.1176E+06   .9999982 -.0019108 -.0001999
