============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(130 MeV) ==> Upper Be+He Gas+Lower Be( 8.02 mm) ========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z)
T    1  8 .1181893E+09   8020000E+01 -.7077E+05  .5585E+04   .9999783  .0060977  .0024811
T    2  8 .1180932E+09   8020000E+01  .1031E+06 -.3473E+05   .9999955  .0016844 -.0024655
T    3  8 .1180994E+09   8020000E+01 -.9661E+05 -.1632E+06   .9999961 -.0003953 -.0027740
T    4  8 .1179881E+09   8020000E+01 -.1295E+06  .3070E+05   .9999997 -.0006556 -.0004727
T    5  8 .1179410E+09   8020000E+01 -.6307E+05 -.2632E+05   .9999981 -.0018250 -.0006537
T    6  8 .1180480E+09   8020000E+01 -.8723E+05 -.8674E+05   .9999972  .0005641 -.0022883
T    7  8 .1181885E+09   8020000E+01  .7177E+05  .7725E+05   .9999929  .0035220  .0013107
T    8  8 .1179002E+09   8020000E+01  .6179E+05 -.1842E+05   .9999986  .0013349 -.0009797
T    9  8 .1179554E+09   8020000E+01 -.4554E+05  .6527E+05   .9999989  .0006089 -.0013835
T   10  8 .1179935E+09   8020000E+01 -.2374E+05 -.5748E+05   .9999958 -.0003483 -.0028687
T   11  8 .1180015E+09   8020000E+01  .1317E+06  .4449E+06   .9999651  .0021162  .0080787
T   12  8 .1180337E+09   8020000E+01 -.1152E+06  .5557E+05   .9999943 -.0025293  .0022495
T   13  8 .1178539E+09   8020000E+01  .7533E+05 -.8908E+05   .9999952  .0020292 -.0023492
T   14  8 .1180526E+09   8020000E+01  .6184E+05  .3136E+05   .9999979  .0015600 -.0013190
T   15  8 .1179975E+09   8020000E+01  .2656E+06 -.9490E+05   .9999874  .0049806 -.0007011
T   16  8 .1180370E+09   8020000E+01  .1002E+06 -.1325E+05   .9999998 -.0000333  .0006919
T   17  8 .1181324E+09   8020000E+01  .4729E+05  .5427E+05   .9999962  .0020965  .0017950
T   18  8 .1181083E+09   8020000E+01 -.1068E+06  .2274E+06   .9999896 -.0021510  .0040209
T   19  8 .1179859E+09   8020000E+01  .1849E+05  .3731E+04   .9999982  .0018915 -.0003229
T   20  8 .1183586E+09   8020000E+01 -.1503E+06 -.2874E+05   .9999955 -.0029319 -.0005960
T   21  8 .1181183E+09   8020000E+01  .3214E+05 -.3653E+05   .9999910 -.0030162  .0029800
T   22  8 .1180192E+09   8020000E+01 -.5396E+05  .1339E+06   .9999969 -.0015296  .0019490
T   23  8 .1179574E+09   8020000E+01 -.2744E+05  .1067E+06   .9999738 -.0062889  .0035964
T   24  8 .1181789E+09   8020000E+01  .8190E+05  .2286E+05   .9999989  .0008355  .0012080
T   25  8 .1179520E+09   8020000E+01 -.4103E+05  .1941E+06   .9999967  .0006827  .0024882
T   26  8 .1179778E+09   8020000E+01  .1448E+06 -.3451E+05   .9999982  .0017960  .0006201
T   27  8 .1183025E+09   8020000E+01 -.1392E+06 -.9125E+06   .9999248 -.0004028 -.0122579
T   28  8 .1182732E+09   8020000E+01  .9927E+05 -.2873E+06   .9999960  .0027854  .0004686
T   29  8 .1178985E+09   8020000E+01  .8520E+05 -.8710E+05   .9999924  .0023498 -.0031022
T   30  8 .1178435E+09   8020000E+01 -.2324E+06 -.1790E+06   .9999970 -.0020962 -.0012799
T   31  8 .1179095E+09   8020000E+01  .1433E+06 -.1853E+05   .9999992  .0012986 -.0000154
T   32  8 .1180315E+09   8020000E+01  .1942E+06 -.2558E+05   .9999933  .0031869 -.0018117
T   33  8 .1180704E+09   8020000E+01 -.1320E+05  .1158E+06   .9999992  .0005649  .0011089
T   34  8 .1180194E+09   8020000E+01 -.1223E+06 -.4907E+05   .9999918 -.0001182  .0040596
T   35  8 .1182405E+09   8020000E+01  .1551E+06 -.1455E+06   .9999966  .0024765 -.0008623
T   36  8 .1180095E+09   8020000E+01 -.1253E+06  .6637E+05   .9999931 -.0025671  .0026715
T   37  8 .1180438E+09   8020000E+01 -.1385E+06  .1436E+06   .9999969 -.0008628  .0023329
T   38  8 .1178531E+09   8020000E+01  .5583E+05  .1194E+06   .9999968 -.0001368  .0025169
T   39  8 .1178341E+09   8020000E+01 -.7890E+05 -.1514E+06   .9999961 -.0018608 -.0020597
T   40  8 .1182232E+09   8020000E+01  .1838E+05  .5432E+05   .9999968  .0015264  .0020053
T   41  8 .1179299E+09   8020000E+01 -.1272E+06  .1045E+06   .9999828 -.0049894  .0030815
T   42  8 .1182144E+09   8020000E+01  .1438E+06  .5526E+05   .9999972  .0023191 -.0003537
T   43  8 .1181148E+09   8020000E+01 -.9649E+05  .1132E+06   .9999857  .0026625  .0046457
T   44  8 .1183267E+09   8020000E+01 -.1362E+05 -.1169E+06   .9999968  .0011958 -.0022476
T   45  8 .1180306E+09   8020000E+01 -.1406E+04 -.1259E+06   .9999906  .0000796 -.0043387
T   46  8 .1179462E+09   8020000E+01 -.2292E+05 -.1956E+05   .9999965  .0023354 -.0012619
T   47  8 .1181279E+09   8020000E+01  .3354E+05 -.6605E+05   .9999987 -.0013568  .0008761
T   48  8 .1177462E+09   8020000E+01  .1398E+05 -.5506E+05   .9999367 -.0112450  .0002843
T   49  8 .1180484E+09   8020000E+01  .7993E+05 -.1403E+05   .9999910  .0028654 -.0031294
T   50  8 .1177304E+09   8020000E+01 -.1793E+05 -.4068E+05   .9999969  .0012168 -.0021532
T   51  8 .1181707E+09   8020000E+01 -.3366E+06 -.4212E+05   .9999945 -.0032492  .0006363
T   52  8 .1179922E+09   8020000E+01 -.5938E+05  .2755E+05   .9999992  .0009165 -.0008420
T   53  8 .1182596E+09   8020000E+01 -.4763E+05 -.2002E+06   .9999983 -.0008063 -.0016847
T   54  8 .1179858E+09   8020000E+01  .8742E+04  .5772E+05   .9999997  .0000573  .0007749
T   55  8 .1181457E+09   8020000E+01 -.5386E+06 -.1645E+06   .9999774 -.0065889 -.0013235
T   56  8 .1179307E+09   8020000E+01  .6218E+05 -.9826E+05   .9999974  .0013266 -.0018692
T   57  8 .1180743E+09   8020000E+01 -.1085E+05 -.3774E+04   .9999998 -.0001480 -.0006852
T   58  8 .1183030E+09   8020000E+01  .3034E+05 -.3430E+02   .9999994 -.0007785 -.0007190
T   59  8 .1180043E+09   8020000E+01 -.2814E+05  .8091E+05   .9999937 -.0030448 -.0018383
T   60  8 .1179796E+09   8020000E+01  .2831E+04 -.1185E+06   .9999955  .0017485 -.0024428
T   61  8 .1180797E+09   8020000E+01  .4629E+05  .1979E+06   .9999984  .0012146  .0013378
T   62  8 .1179863E+09   8020000E+01 -.5544E+05 -.2066E+05   .9999999 -.0002064 -.0000708
T   63  8 .1180774E+09   8020000E+01 -.2596E+05  .9957E+05   .9999984  .0012852  .0012784
T   64  8 .1181134E+09   8020000E+01 -.8156E+05  .4714E+05   .9999992 -.0004890  .0011351
T   65  8 .1181789E+09   8020000E+01 -.1116E+06 -.7583E+05   .9999993 -.0008279 -.0008485
T   66  8 .1182537E+09   8020000E+01  .1294E+06  .5523E+05   .9999982  .0018834  .0000660
T   67  8 .1182165E+09   8020000E+01  .1057E+06 -.1082E+06   .9999975  .0022076 -.0002275
T   68  8 .1182534E+09   8020000E+01  .6973E+05  .4420E+05   .9999960  .0010992  .0025997
T   69  8 .1178862E+09   8020000E+01  .6907E+05 -.2094E+06   .9999909  .0032543 -.0027493
T   70  8 .1180565E+09   8020000E+01  .2195E+05 -.2119E+05   .9999994  .0008777  .0006692
T   71  8 .1179025E+09   8020000E+01 -.1249E+06  .6984E+05   .9999970  .0006700  .0023598
T   72  8 .1180542E+09   8020000E+01 -.4139E+05 -.8681E+05   .9999995 -.0007557 -.0006750
T   73  8 .1179948E+09   8020000E+01  .1244E+06  .2117E+05   .9999978  .0018634 -.0009214
T   74  8 .1181439E+09   8020000E+01 -.8605E+05 -.3345E+05   .9999999 -.0005369  .0001056
T   75  8 .1181369E+09   8020000E+01  .2508E+06 -.7476E+05   .9999880  .0045488 -.0018123
T   76  8 .1180727E+09   8020000E+01 -.9536E+04 -.1345E+06   .9999961 -.0027408 -.0004871
T   77  8 .1178512E+09   8020000E+01  .2958E+04 -.2705E+05   .9999999 -.0002090 -.0001630
T   78  8 .1180921E+09   8020000E+01  .9713E+04  .1510E+06   .9999948  .0003789  .0031873
T   79  8 .1179475E+09   8020000E+01  .5620E+05  .2617E+06   .9999965 -.0010911  .0024038
T   80  8 .1179255E+09   8020000E+01  .3574E+05  .5341E+05   .9999972  .0011232  .0021014
T   81  8 .1179706E+09   8020000E+01  .6078E+05 -.1362E+05   .9999993  .0011460 -.0001878
T   82  8 .1178996E+09   8020000E+01 -.4299E+06 -.1996E+06   .9999862 -.0046937 -.0023526
T   83  8 .1180869E+09   8020000E+01  .1008E+06 -.2645E+05   .9999986  .0016450 -.0004359
T   84  8 .1180724E+09   8020000E+01 -.4571E+05  .8471E+04   .9999979  .0008429  .0018676
T   85  8 .1180120E+09   8020000E+01 -.3386E+05 -.8173E+05   .9999934 -.0024066  .0027192
T   86  8 .1181632E+09   8020000E+01 -.8035E+05  .1112E+06   .9999994 -.0002139  .0010966
T   87  8 .1181414E+09   8020000E+01  .1547E+06 -.9399E+05   .9999989  .0011172 -.0010006
T   88  8 .1179410E+09   8020000E+01 -.1614E+06  .1144E+06   .9999973 -.0015732 -.0016924
T   89  8 .1179816E+09   8020000E+01 -.1823E+06 -.1698E+06   .9999974 -.0018980 -.0012932
T   90  8 .1184559E+09   8020000E+01 -.1034E+06 -.1913E+06   .9999898 -.0012570 -.0043340
T   91  8 .1181428E+09   8020000E+01  .3583E+05 -.5029E+05   .9999984  .0012185 -.0013053
T   92  8 .1180214E+09   8020000E+01 -.1436E+06 -.1209E+06   .9999976 -.0021069  .0006555
T   93  8 .1180091E+09   8020000E+01  .1088E+06 -.1637E+06   .9999980 -.0017662 -.0008869
T   94  8 .1182492E+09   8020000E+01 -.2019E+06  .1459E+04   .9999847 -.0055013 -.0004981
T   95  8 .1178701E+09   8020000E+01  .5836E+04 -.2574E+06   .9999946 -.0021509 -.0024804
T   96  8 .1178819E+09   8020000E+01 -.2264E+06 -.1798E+06   .9999909 -.0035118 -.0024070
T   97  8 .1180019E+09   8020000E+01  .8652E+05  .8717E+05   .9999979  .0020165 -.0003190
T   98  8 .1181866E+09   8020000E+01 -.5814E+05 -.5819E+05   .9999976  .0000520 -.0021726
T   99  8 .1180492E+09   8020000E+01 -.6052E+05  .6567E+04   .9999996  .0008963  .0000260
T  100  8 .1181019E+09   8020000E+01 -.6772E+05  .9079E+05   .9999888 -.0029265  .0037063
T  101  8 .1179610E+09   8020000E+01 -.2058E+06  .5529E+05   .9999949 -.0025289  .0019374
T  102  8 .1182058E+09   8020000E+01 -.2820E+05  .3430E+05   .9999958 -.0026794  .0010871
T  103  8 .1179873E+09   8020000E+01 -.2410E+06  .2717E+04   .9999931 -.0035927  .0009714
T  104  8 .1169356E+09   8020000E+01 -.4466E+07  .2835E+07   .9976563 -.0595354  .0337267
T  105  8 .1181118E+09   8020000E+01  .1919E+06 -.8497E+05   .9999974 -.0000324 -.0022765
T  106  8 .1179648E+09   8020000E+01  .1698E+06 -.3834E+06   .9999810  .0017182 -.0059211
T  107  8 .1180260E+09   8020000E+01  .1761E+06  .1796E+06   .9999947  .0017708  .0027438
T  108  8 .1179537E+09   8020000E+01  .8861E+04 -.5903E+05   .9999933  .0030010  .0020902
T  109  8 .1177768E+09   8020000E+01 -.9286E+05  .9706E+05   .9999970 -.0017245 -.0017117
T  110  8 .1181539E+09   8020000E+01 -.8818E+05 -.3939E+05   .9999990 -.0010957 -.0008629
T  111  8 .1182864E+09   8020000E+01 -.5716E+04 -.2246E+06   .9999971  .0010469 -.0021537
T  112  8 .1179525E+09   8020000E+01 -.3191E+05 -.2321E+06   .9999885 -.0022917 -.0042214
T  113  8 .1178825E+09   8020000E+01 -.3536E+05  .3017E+05   .9999999 -.0001175  .0003100
T  114  8 .1181396E+09   8020000E+01  .1265E+06 -.1768E+05   .9999993 -.0001195  .0011697
T  115  8 .1180149E+09   8020000E+01  .2405E+06  .1315E+05   .9999847  .0051083  .0021000
T  116  8 .1180395E+09   8020000E+01  .5528E+05 -.8310E+05   .9999996  .0001536 -.0008780
T  117  8 .1184315E+09   8020000E+01  .3322E+05  .5968E+05   .9999997 -.0002858 -.0007798
T  118  8 .1182696E+09   8020000E+01 -.2897E+06 -.6147E+05   .9999949 -.0032026  .0001416
T  119  8 .1178349E+09   8020000E+01  .2929E+05  .7295E+05   .9999990 -.0002638  .0014145
T  120  8 .1181593E+09   8020000E+01 -.5117E+05 -.4304E+05   .9999977 -.0021258  .0001271
T  121  8 .1183565E+09   8020000E+01 -.7557E+05  .6946E+05   .9999971 -.0022626 -.0007641
T  122  8 .1179995E+09   8020000E+01 -.1950E+06  .2573E+06   .9999961 -.0007438  .0026762
T  123  8 .1181111E+09   8020000E+01  .1164E+05  .6640E+05   .9999947 -.0007459  .0031766
T  124  8 .1179245E+09   8020000E+01 -.1236E+06 -.1214E+05   .9999889 -.0040689 -.0023873
T  125  8 .1179829E+09   8020000E+01  .2156E+05  .3308E+05   .9999772 -.0028307  .0061244
T  126  8 .1180354E+09   8020000E+01  .2419E+06 -.1344E+06   .9999856  .0036351 -.0039475
T  127  8 .1181105E+09   8020000E+01 -.2475E+05 -.2379E+05   .9999981 -.0002332 -.0019212
T  128  8 .1183514E+09   8020000E+01  .7930E+05 -.5663E+05   .9999974  .0005927  .0022093
T  129  8 .1180727E+09   8020000E+01  .1295E+06  .9330E+05   .9999977  .0019170  .0009367
T  130  8 .1180855E+09   8020000E+01 -.3791E+05 -.6723E+05   .9999802 -.0057345 -.0026097
T  131  8 .1179714E+09   8020000E+01 -.5752E+05  .1453E+05   .9999997 -.0005493  .0006282
T  132  8 .1178682E+09   8020000E+01  .8240E+05  .1019E+06   .9999949 -.0027938  .0015592
T  133  8 .1181528E+09   8020000E+01  .8463E+05  .2127E+05   .9999964 -.0020882 -.0016572
T  134  8 .1180421E+09   8020000E+01  .1097E+06  .2761E+06   .9999881  .0003367  .0048766
T  135  8 .1181299E+09   8020000E+01  .1157E+06  .1774E+05   .9999895  .0042204  .0017737
T  136  8 .1181751E+09   8020000E+01 -.1325E+06 -.3149E+05   .9999970  .0024252 -.0002493
T  137  8 .1182217E+09   8020000E+01 -.1495E+06 -.2429E+06   .9999910 -.0024437 -.0034745
T  138  8 .1179390E+09   8020000E+01  .3055E+06 -.2996E+06   .9999887  .0037821 -.0028813
T  139  8 .1179250E+09   8020000E+01 -.5067E+05  .6719E+05   .9999759 -.0057930 -.0038145
T  140  8 .1181197E+09   8020000E+01  .1382E+05 -.4965E+05   .9999986  .0016395  .0002822
T  141  8 .1181737E+09   8020000E+01  .2741E+05 -.9928E+05   .9999999  .0002296  .0002975
T  142  8 .1179959E+09   8020000E+01  .9775E+05  .2265E+05   .9999993 -.0011002  .0003461
T  143  8 .1180331E+09   8020000E+01 -.1289E+06 -.9270E+05   .9999984 -.0015771 -.0007832
T  144  8 .1181333E+09   8020000E+01  .8460E+05 -.5433E+05   .9999954  .0015050 -.0026387
T  145  8 .1181885E+09   8020000E+01  .2958E+05 -.1077E+05   .9999947  .0011487 -.0030312
T  146  8 .1180643E+09   8020000E+01  .4117E+05  .8393E+05   .9999991  .0010512  .0008294
T  147  8 .1180042E+09   8020000E+01  .4170E+05  .1876E+06   .9999921  .0024258  .0031539
T  148  8 .1179964E+09   8020000E+01 -.9513E+04 -.6278E+05   .9999918  .0019691  .0035311
T  149  8 .1180434E+09   8020000E+01 -.2206E+05 -.1164E+06   .9999990  .0003303 -.0013645
T  150  8 .1181309E+09   8020000E+01 -.2013E+06 -.2675E+06   .9999889 -.0016234 -.0044193
T  151  8 .1180610E+09   8020000E+01 -.5895E+03  .4029E+06   .9999855 -.0012411  .0052401
T  152  8 .1181702E+09   8020000E+01 -.1395E+06  .7502E+04   .9999981 -.0010926  .0016385
T  153  8 .1181039E+09   8020000E+01  .8111E+04  .1460E+06   .9999996 -.0001085  .0008744
T  154  8 .1180578E+09   8020000E+01  .9588E+05  .4933E+05   .9999966  .0008128  .0024628
T  155  8 .1179541E+09   8020000E+01  .9292E+05  .6707E+05   .9999964 -.0000053  .0026794
T  156  8 .1182120E+09   8020000E+01  .6410E+05  .1687E+05   .9999990  .0012519 -.0005960
T  157  8 .1183155E+09   8020000E+01 -.5925E+05 -.5882E+05   .9999971 -.0021680 -.0010772
T  158  8 .1179852E+09   8020000E+01  .1597E+05 -.1028E+06   .9999992  .0008770  .0008568
T  159  8 .1179363E+09   8020000E+01 -.1368E+05  .1249E+05   .9999991  .0007887  .0010512
T  160  8 .1179307E+09   8020000E+01 -.3260E+05 -.4930E+05   .9999942 -.0024960  .0023270
T  161  8 .1179222E+09   8020000E+01 -.1957E+05 -.2102E+06   .9999984 -.0015416 -.0009403
T  162  8 .1180389E+09   8020000E+01 -.4027E+05 -.2235E+05   .9999942  .0008639 -.0032835
T  163  8 .1181922E+09   8020000E+01  .2806E+06  .1297E+06   .9999925  .0037584 -.0009865
T  164  8 .1180982E+09   8020000E+01 -.4340E+05 -.6754E+04   .9999998  .0002736 -.0005936
T  165  8 .1181179E+09   8020000E+01  .7934E+05 -.1937E+05   .9999976  .0021324 -.0004793
T  166  8 .1182259E+09   8020000E+01  .3135E+05 -.6893E+05   .9999914  .0028505 -.0030210
T  167  8 .1181323E+09   8020000E+01  .1217E+06 -.2954E+05   .9999997  .0008059  .0000618
T  168  8 .1182276E+09   8020000E+01  .4045E+05 -.4352E+05   .9999991  .0013449  .0002694
T  169  8 .1180381E+09   8020000E+01  .1122E+06  .6033E+04   .9999987  .0015888  .0001724
T  170  8 .1179907E+09   8020000E+01 -.2226E+06  .1091E+06   .9999899 -.0042208  .0015708
T  171  8 .1179769E+09   8020000E+01 -.6118E+05  .9325E+05   .9999885 -.0047101  .0009005
T  172  8 .1179788E+09   8020000E+01 -.1102E+06  .1323E+06   .9999966 -.0008947  .0024621
T  173  8 .1181564E+09   8020000E+01  .1715E+06 -.7679E+05   .9999940  .0019681  .0028673
T  174  8 .1178813E+09   8020000E+01 -.1627E+06 -.1095E+06   .9999992 -.0001309 -.0012363
T  175  8 .1180454E+09   8020000E+01 -.6034E+05 -.3943E+05   .9999956 -.0005693 -.0029124
T  176  8 .1182878E+09   8020000E+01 -.9946E+05 -.2008E+06   .9999981 -.0006263 -.0018194
T  177  8 .1180130E+09   8020000E+01 -.1852E+06  .2577E+03   .9999997 -.0006718  .0003661
T  178  8 .1180785E+09   8020000E+01 -.4710E+05 -.1424E+06   .9999945 -.0013911 -.0030265
T  179  8 .1180317E+09   8020000E+01 -.1967E+06 -.7410E+05   .9999945 -.0030208 -.0013800
T  180  8 .1180013E+09   8020000E+01  .1602E+05  .2256E+05   .9999979  .0019932 -.0004012
T  181  8 .1180336E+09   8020000E+01  .1157E+07  .3703E+06   .9998460  .0163470  .0063900
T  182  8 .1180151E+09   8020000E+01 -.1610E+06 -.5002E+05   .9999984 -.0015027 -.0010012
T  183  8 .1182379E+09   8020000E+01 -.7779E+04 -.1771E+06   .9999985 -.0013075 -.0011326
T  184  8 .1180529E+09   8020000E+01  .1664E+05  .2235E+05   .9999999  .0004760  .0001251
T  185  8 .1180015E+09   8020000E+01 -.1148E+06  .8215E+05   .9999975 -.0015895  .0015650
T  186  8 .1180875E+09   8020000E+01  .3556E+05  .8081E+05   .9999995  .0004731  .0009284
T  187  8 .1179073E+09   8020000E+01 -.4862E+05  .6976E+05   .9999980 -.0011701  .0016497
T  188  8 .1181014E+09   8020000E+01 -.3457E+06  .5516E+05   .9999939 -.0034498 -.0005333
T  189  8 .1180552E+09   8020000E+01  .1371E+05  .4888E+04   .9999998  .0002868  .0005854
T  190  8 .1179904E+09   8020000E+01  .9117E+05  .3649E+05   .9999842  .0051735 -.0022106
T  191  8 .1181986E+09   8020000E+01  .1386E+05 -.1229E+06   .9999999  .0000428  .0001594
T  192  8 .1181597E+09   8020000E+01 -.7646E+05 -.2025E+04   .9999999 -.0000734  .0002499
T  193  8 .1179434E+09   8020000E+01  .5730E+05 -.8736E+05   .9999996 -.0004904 -.0007672
