============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(126 MeV) ==> Upper Be+He Gas+Lower Be( 8.03 mm) ========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z)
T    1  8 .1075750E+09   8030000E+01 -.1826E+06  .2846E+05   .9999986 -.0014798  .0007531
T    2  8 .1076200E+09   8030000E+01  .1582E+06 -.1830E+05   .9998514 -.0093292  .0144975
T    3  8 .1079435E+09   8030000E+01  .1025E+06 -.2159E+05   .9999981  .0019024  .0004316
T    4  8 .1075838E+09   8030000E+01  .6421E+05 -.2373E+06   .9999935  .0028560 -.0022022
T    5  8 .1074860E+09   8030000E+01 -.1409E+06  .5894E+05   .9999978  .0010257  .0018509
T    6  8 .1074132E+09   8030000E+01 -.5213E+04 -.2335E+05   .9999943 -.0007524  .0033027
T    7  8 .1073476E+09   8030000E+01 -.6479E+05 -.1513E+06   .9999933 -.0036481 -.0003569
T    8  8 .1075989E+09   8030000E+01 -.3895E+05 -.3357E+05   .9999962  .0007545  .0026612
T    9  8 .1076656E+09   8030000E+01  .1285E+06  .3037E+05   .9999965  .0004993  .0025969
T   10  8 .1074805E+09   8030000E+01 -.1574E+05 -.1591E+06   .9999978 -.0014033 -.0015295
T   11  8 .1077333E+09   8030000E+01  .1154E+06 -.2186E+06   .9999949 -.0000808 -.0032007
T   12  8 .1075284E+09   8030000E+01  .2495E+05 -.9242E+05   .9999971  .0019872  .0013357
T   13  8 .1074593E+09   8030000E+01 -.2251E+06 -.4204E+05   .9999914 -.0038445 -.0015478
T   14  8 .1074276E+09   8030000E+01 -.4887E+05  .1086E+06   .9999989  .0008127 -.0012075
T   15  8 .1073659E+09   8030000E+01 -.1127E+06  .1766E+05   .9999985 -.0001468 -.0017447
T   16  8 .1074771E+09   8030000E+01  .2687E+06  .1558E+06   .9999950  .0009883 -.0030142
T   17  8 .1074545E+09   8030000E+01 -.3468E+05 -.2562E+05   .9999990 -.0013177  .0004466
T   18  8 .1075185E+09   8030000E+01  .7095E+05  .7636E+05   .9999912  .0041353 -.0006851
T   19  8 .1077122E+09   8030000E+01 -.1240E+06  .3439E+06   .9999646 -.0034691  .0076603
T   20  8 .1072586E+09   8030000E+01  .3345E+05 -.1188E+06   .9999990 -.0008488 -.0011667
T   21  8 .1076560E+09   8030000E+01 -.6694E+06  .7341E+06   .9998405 -.0136090  .0115670
T   22  8 .1076953E+09   8030000E+01 -.1178E+06  .1174E+06   .9999998  .0006388  .0001711
T   23  8 .1079321E+09   8030000E+01 -.1725E+05  .2089E+06   .9999884 -.0026868  .0040092
T   24  8 .1074834E+09   8030000E+01  .5178E+05 -.2666E+05   .9999980  .0016578 -.0011430
T   25  8 .1076337E+09   8030000E+01 -.8864E+05 -.3430E+06   .9999839 -.0007891 -.0056158
T   26  8 .1079136E+09   8030000E+01  .5227E+05  .8840E+05   .9999979 -.0013082  .0015735
T   27  8 .1077873E+09   8030000E+01  .2313E+06  .1981E+06   .9999792  .0061488  .0019243
T   28  8 .1076751E+09   8030000E+01 -.6895E+05  .1755E+05   .9999968 -.0023509  .0009808
T   29  8 .1076338E+09   8030000E+01  .1061E+06  .1190E+06   .9999936  .0026256  .0024338
T   30  8 .1072482E+09   8030000E+01 -.6168E+05 -.2194E+04   .9999993 -.0001873  .0011580
T   31  8 .1075643E+09   8030000E+01 -.5784E+05  .5009E+05   .9999979  .0014292  .0014627
T   32  8 .1077075E+09   8030000E+01  .6507E+04 -.1410E+06   .9999968 -.0008454 -.0023950
T   33  8 .1076950E+09   8030000E+01 -.4990E+05  .1255E+06   .9999880 -.0015847  .0046441
T   34  8 .1076989E+09   8030000E+01  .7455E+04  .6370E+05   .9999999  .0001661 -.0002453
T   35  8 .1077417E+09   8030000E+01  .4533E+05  .8685E+05   .9999760 -.0034498 -.0060091
T   36  8 .1076879E+09   8030000E+01 -.2242E+05 -.2140E+05   .9999996 -.0003731  .0007523
T   37  8 .1073847E+09   8030000E+01 -.6914E+05 -.1142E+06   .9999286  .0055415  .0105853
T   38  8 .1077025E+09   8030000E+01 -.9903E+05  .1839E+06   .9999933 -.0030160  .0020586
T   39  8 .1074837E+09   8030000E+01 -.1320E+06  .2455E+06   .9999950 -.0006544  .0030978
T   40  8 .1075520E+09   8030000E+01 -.3356E+05 -.1650E+06   .9999945 -.0014197 -.0030083
T   41  8 .1076230E+09   8030000E+01 -.1754E+06 -.5620E+05   .9999938 -.0007077  .0034414
T   42  8 .1077286E+09   8030000E+01  .1095E+06 -.6269E+05   .9999999  .0002570 -.0001945
T   43  8 .1080006E+09   8030000E+01  .8140E+05  .4847E+05   .9999987 -.0010652  .0012211
T   44  8 .1076299E+09   8030000E+01  .6070E+05  .3993E+04   .9999981  .0018077 -.0007189
T   45  8 .1076338E+09   8030000E+01 -.1300E+06 -.1535E+06   .9999961 -.0026967 -.0007595
T   46  8 .1077114E+09   8030000E+01 -.5870E+05  .2009E+06   .9999967 -.0022520  .0011955
T   47  8 .1074359E+09   8030000E+01  .9094E+05  .8521E+05   .9999992  .0002797  .0012355
