============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(130 MeV) ==> Upper Be+He Gas+Lower Be( 8.03 mm) ========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z)
T    1  8 .1120674E+09   8030000E+01 -.1811E+06  .1435E+05   .9999984 -.0016559  .0007133
T    2  8 .1122545E+09   8030000E+01  .1760E+06  .3034E+04   .9999955  .0022737  .0019789
T    3  8 .1124052E+09   8030000E+01 -.9738E+05  .7689E+05   .9999993 -.0002601  .0011167
T    4  8 .1120073E+09   8030000E+01  .1308E+06 -.4495E+05   .9999967  .0016615  .0019656
T    5  8 .1118864E+09   8030000E+01 -.6020E+05 -.2040E+06   .9999989 -.0012285 -.0007999
T    6  8 .1120889E+09   8030000E+01  .1975E+05  .2340E+06   .9999978  .0006914  .0019958
T    7  8 .1121364E+09   8030000E+01  .6206E+05 -.1626E+06   .9999836 -.0050524 -.0026913
T    8  8 .1118028E+09   8030000E+01 -.9911E+05  .1412E+06   .9999997 -.0005565  .0005356
T    9  8 .1121752E+09   8030000E+01 -.2175E+06 -.1960E+06   .9999895  .0005221 -.0045588
T   10  8 .1120095E+09   8030000E+01  .7039E+05 -.1467E+06   .9999858  .0016045 -.0050833
T   11  8 .1121153E+09   8030000E+01  .4750E+05 -.3408E+05   .9999963  .0024728 -.0011762
T   12  8 .1119012E+09   8030000E+01  .1985E+06 -.1492E+04   .9999980  .0002539  .0019699
T   13  8 .1121143E+09   8030000E+01 -.8589E+05  .6335E+05   .9999981 -.0015474  .0011696
T   14  8 .1116756E+09   8030000E+01 -.1015E+06 -.8125E+05   .9999895 -.0040807 -.0020842
T   15  8 .1124323E+09   8030000E+01  .4915E+03  .1265E+06   .9999821 -.0043284  .0041257
T   16  8 .1122084E+09   8030000E+01  .2754E+06  .2188E+06   .9999810  .0037823  .0048690
T   17  8 .1117099E+09   8030000E+01  .6613E+05 -.3891E+04   .9999607  .0088617 -.0002255
T   18  8 .1118839E+09   8030000E+01 -.4302E+05 -.1903E+06   .9999958  .0009221 -.0027319
T   19  8 .1119589E+09   8030000E+01  .4853E+05  .1024E+05   .9999996  .0002018 -.0008764
T   20  8 .1120589E+09   8030000E+01  .6282E+05  .4129E+05   .9999985  .0010266  .0013745
T   21  8 .1121148E+09   8030000E+01 -.6576E+06  .3935E+06   .9999651 -.0061290  .0056760
