============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(113. MeV) ==> Upper Be+He Gas+Lower Be( 16.0 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z)
T    1  8 .9897206E+08   1602000E+02 -.1950E+06 -.6584E+05   .9999995  .0007369 -.0007387
T    2  8 .9890915E+08   1602000E+02  .1167E+06  .2149E+04   .9999976  .0016178 -.0014671
T    3  8 .9892870E+08   1602000E+02  .3131E+06 -.2030E+06   .9999994  .0010798  .0001430
T    4  8 .9902385E+08   1602000E+02  .2394E+05 -.2114E+05   .9999957  .0007929 -.0028247
T    5  8 .9856342E+08   1602000E+02 -.3190E+06  .4775E+05   .9999997  .0005361 -.0006106
T    6  8 .9914563E+08   1602000E+02  .4931E+05  .1007E+06   .9999997 -.0003479 -.0007164
T    7  8 .9919300E+08   1602000E+02 -.1095E+06 -.1570E+06   .9999991 -.0011529 -.0007517
T    8  8 .9903317E+08   1602000E+02  .2127E+06  .1464E+06   .9999967  .0002039  .0025534
T    9  8 .9910822E+08   1602000E+02 -.8316E+05  .1322E+06   .9999988  .0015666 -.0001264
T   10  8 .9888455E+08   1602000E+02 -.2226E+06  .2245E+06   .9999994  .0006785 -.0008093
T   11  8 .9878407E+08   1602000E+02  .2172E+06 -.2154E+06   .9999974 -.0019997 -.0011390
T   12  8 .9894999E+08   1602000E+02 -.4093E+05  .4313E+05   .9999994 -.0004146  .0009740
T   13  8 .9917189E+08   1602000E+02  .4202E+06 -.1111E+07   .9999710  .0012645 -.0075050
T   14  8 .9895739E+08   1602000E+02  .7608E+05  .3408E+06   .9999963 -.0010383  .0025297
T   15  8 .9923527E+08   1602000E+02  .2120E+06  .6939E+06   .9999736  .0042353  .0059097
T   16  8 .9898011E+08   1602000E+02  .7635E+05 -.1103E+06   .9999969  .0012451 -.0021535
T   17  8 .9906005E+08   1602000E+02 -.1891E+06  .9129E+05   .9999978  .0018948 -.0008817
T   18  8 .9880737E+08   1602000E+02  .1437E+06 -.1997E+06   .9999985  .0007203 -.0015631
T   19  8 .9885073E+08   1602000E+02  .5659E+06 -.7288E+05   .9999878  .0022270 -.0044046
T   20  8 .9887802E+08   1602000E+02  .1234E+06  .1739E+06   .9999971  .0013240  .0020116
T   21  8 .9898028E+08   1602000E+02 -.2862E+06 -.8830E+05   .9999913 -.0040212  .0011326
T   22  8 .9876537E+08   1602000E+02  .4167E+06 -.5111E+06   .9999935  .0026689 -.0024390
T   23  8 .9902242E+08   1602000E+02 -.6738E+05  .1018E+06   .9999984 -.0018024  .0001788
T   24  8 .9888450E+08   1602000E+02 -.2411E+06 -.1195E+06   .9999916 -.0040322 -.0007608
T   25  8 .9887641E+08   1602000E+02 -.1364E+06 -.2183E+06   .9999994  .0005829  .0009378
T   26  8 .9909518E+08   1602000E+02  .3791E+06 -.3908E+06   .9999983  .0018585  .0000376
