============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(116. MeV) ==> Upper Be+He Gas+Lower Be( 14.4 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z)
T    1  8 .7874768E+08   1448410E+02  .6835E+06  .1021E+07   .9999638  .0063348  .0056782
T    2  8 .7840422E+08   1448410E+02 -.1452E+07 -.2254E+07   .9999085 -.0099881 -.0091205
T    3  8 .7863460E+08   1448410E+02 -.3060E+05 -.3010E+06   .9999881 -.0046474  .0014824
T    4  8 .7871687E+08   1448410E+02  .5619E+06  .9359E+05   .9999798  .0061128 -.0017613
T    5  8 .7874695E+08   1448410E+02  .6072E+06  .2239E+06   .9999755 -.0023853  .0065873
T    6  8 .7855052E+08   1448410E+02 -.7573E+06 -.4961E+06   .9999863 -.0014833 -.0050288
T    7  8 .7850586E+08   1448410E+02  .7076E+05 -.3951E+06   .9999866 -.0016567 -.0049028
T    8  8 .7830780E+08   1448410E+02  .1092E+07  .4198E+05   .9999878 -.0049389 -.0001560
T    9  8 .7880645E+08   1448410E+02 -.4617E+06  .3744E+06   .9999845 -.0026668  .0048896
T   10  8 .7847493E+08   1448410E+02  .2105E+06  .6110E+06   .9997635 -.0103745  .0191120
T   11  8 .7874657E+08   1448410E+02 -.4514E+06 -.3858E+06   .9999759 -.0029926 -.0062673
T   12  8 .7840517E+08   1448410E+02 -.1458E+06 -.5720E+06   .9999959 -.0002186 -.0028715
T   13  8 .7879004E+08   1448410E+02 -.1311E+06 -.1613E+07   .9999642 -.0012932 -.0083593
T   14  8 .7872147E+08   1448410E+02 -.1505E+06 -.3457E+06   .9999812 -.0008501 -.0060742
T   15  8 .7849681E+08   1448410E+02  .8268E+06 -.1107E+06   .9999832  .0055143 -.0017701
T   16  8 .7870059E+08   1448410E+02 -.1800E+06  .8739E+06   .9999525 -.0075909  .0061154
T   17  8 .7880811E+08   1448410E+02 -.3743E+06  .1122E+06   .9999939 -.0033348  .0010649
T   18  8 .7884857E+08   1448410E+02 -.9740E+05  .3240E+06   .9999973 -.0023416  .0000041
T   19  8 .7888221E+08   1448410E+02  .2747E+06 -.4866E+06   .9999768  .0045166 -.0050942
T   20  8 .7823507E+08   1448410E+02 -.9225E+06 -.6101E+05   .9999402 -.0108838 -.0011088
T   21  8 .7844274E+08   1448410E+02  .1128E+06 -.1735E+06   .9999902 -.0024113 -.0037188
T   22  8 .7834040E+08   1448410E+02  .1077E+07  .1430E+06   .9999141  .0130090  .0015748
T   23  8 .7888543E+08   1448410E+02 -.3224E+06  .7234E+05   .9999982 -.0010569 -.0015965
T   24  8 .7883648E+08   1448410E+02 -.1166E+06 -.3920E+05   .9999926  .0006700  .0037811
T   25  8 .7895747E+08   1448410E+02 -.4123E+06  .6356E+05   .9999985 -.0016850  .0003685
T   26  8 .7837698E+08   1448410E+02 -.9111E+04  .5153E+06   .9999736  .0038470  .0061705
