============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(109. MeV) ==> Upper Be+He Gas+Lower Be( 8.02 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z)
T    1  8 .9573948E+08   8020000E+01 -.9700E+05 -.5950E+04   .9999991 -.0011136 -.0007839
T    2  8 .9601062E+08   8020000E+01 -.5795E+05 -.3305E+05   .9999961 -.0022698 -.0016399
T    3  8 .9611241E+08   8020000E+01  .2155E+05 -.1402E+05   .9999985  .0015829  .0007406
T    4  8 .9620569E+08   8020000E+01 -.2301E+05  .6904E+05   .9999986  .0003940  .0016160
T    5  8 .9589125E+08   8020000E+01  .2150E+06  .3590E+05   .9999960  .0025506  .0012396
T    6  8 .9585122E+08   8020000E+01  .2476E+06  .6425E+05   .9999914  .0040483  .0009497
T    7  8 .9600953E+08   8020000E+01 -.8537E+05  .8505E+05   .9999980 -.0013030  .0014924
T    8  8 .9565966E+08   8020000E+01 -.1649E+05  .1025E+06   .9999953 -.0011986 -.0028063
T    9  8 .9600310E+08   8020000E+01  .1256E+06  .2583E+06   .9999944  .0020970  .0026089
T   10  8 .9602325E+08   8020000E+01  .3119E+06 -.1743E+06   .9999422  .0089191 -.0060023
T   11  8 .9596686E+08   8020000E+01 -.3483E+06  .6866E+06   .9999445 -.0063447  .0084093
T   12  8 .9607372E+08   8020000E+01  .3382E+05 -.1309E+06   .9999986  .0016526  .0000150
T   13  8 .9602674E+08   8020000E+01  .7328E+05 -.8213E+05   .9999983  .0008335 -.0016433
T   14  8 .9594281E+08   8020000E+01 -.2646E+05 -.2829E+06   .9999930  .0001412 -.0037437
T   15  8 .9595687E+08   8020000E+01  .2996E+06 -.6263E+04   .9999936  .0030135  .0019084
T   16  8 .9613696E+08   8020000E+01 -.7703E+05 -.3515E+05   .9999945  .0013708 -.0030258
T   17  8 .9601493E+08   8020000E+01  .2000E+06  .1480E+06   .9999984  .0016824  .0006318
T   18  8 .9599916E+08   8020000E+01  .1660E+05 -.1510E+05   .9999975 -.0019600  .0011181
T   19  8 .9595117E+08   8020000E+01 -.7786E+05  .1038E+06   .9999959 -.0027307  .0009177
T   20  8 .9596242E+08   8020000E+01 -.2580E+06 -.2849E+06   .9999844 -.0042118 -.0036805
T   21  8 .9603996E+08   8020000E+01  .2160E+04 -.9121E+05   .9999994  .0004686 -.0009863
T   22  8 .9590382E+08   8020000E+01 -.1187E+05  .4628E+04   .9999988 -.0013329  .0007754
T   23  8 .9606172E+08   8020000E+01  .1950E+05  .1380E+05   .9999991 -.0012608 -.0003388
T   24  8 .9588670E+08   8020000E+01 -.6632E+05 -.7770E+05   .9999974 -.0014971  .0017465
T   25  8 .9605475E+08   8020000E+01  .1803E+04 -.9751E+05   .9999915  .0031920 -.0026132
T   26  8 .9615109E+08   8020000E+01 -.8939E+05  .5664E+05   .9999995 -.0009144  .0004863
T   27  8 .9592636E+08   8020000E+01 -.1867E+04 -.5022E+04   .9999937 -.0003174 -.0035307
T   28  8 .9581158E+08   8020000E+01 -.2518E+06 -.2131E+06   .9999935 -.0030757 -.0018805
T   29  8 .9571731E+08   8020000E+01  .1548E+06  .5472E+05   .9999932  .0031398  .0019155
T   30  8 .9591405E+08   8020000E+01 -.2291E+05 -.3287E+06   .9999822 -.0015666 -.0057499
T   31  8 .9600850E+08   8020000E+01 -.2473E+05 -.4037E+05   .9999894  .0045215 -.0008615
T   32  8 .9598436E+08   8020000E+01  .4854E+05  .8881E+05   .9999949  .0003105  .0031737
