============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(109. MeV) ==> Upper Be+He Gas+Lower Be( 14.4 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z)
T    1  8 .8376584E+08   1446606E+02 -.2733E+06  .2726E+06   .9999959 -.0009933  .0026894
T    2  8 .8404247E+08   1446606E+02  .3796E+06 -.3374E+06   .9999818  .0034944 -.0049211
T    3  8 .8373111E+08   1446606E+02  .1652E+06  .5609E+06   .9999750  .0019101  .0068100
T    4  8 .8386387E+08   1446606E+02 -.3071E+06  .4688E+05   .9999968 -.0012760  .0021692
T    5  8 .8398930E+08   1446606E+02  .2494E+06 -.1591E+06   .9999901  .0016635 -.0041386
T    6  8 .8375280E+08   1446606E+02  .8710E+05  .4090E+06   .9999980  .0019005  .0006723
T    7  8 .8363168E+08   1446606E+02  .2700E+06  .3082E+04   .9999807  .0049729  .0037199
T    8  8 .8370853E+08   1446606E+02 -.7560E+05 -.6295E+06   .9998940  .0023263 -.0143711
T    9  8 .8420124E+08   1446606E+02  .3530E+06 -.6261E+05   .9999809  .0041858 -.0045435
T   10  8 .8413210E+08   1446606E+02 -.8254E+05 -.3369E+05   .9999746 -.0027666  .0065685
T   11  8 .8423624E+08   1446606E+02  .9442E+05 -.2340E+06   .9999997  .0008226  .0000367
T   12  8 .8403313E+08   1446606E+02  .4341E+06 -.7315E+05   .9999603  .0077418  .0044044
T   13  8 .8422781E+08   1446606E+02  .8404E+05 -.2003E+06   .9999893  .0010683 -.0044906
T   14  8 .8393156E+08   1446606E+02  .1494E+06 -.3491E+06   .9999750  .0043016 -.0056060
T   15  8 .8403553E+08   1446606E+02 -.1206E+06 -.2978E+06   .9999901  .0002102 -.0044442
T   16  8 .8380895E+08   1446606E+02  .8523E+05  .6783E+06   .9999961 -.0010778  .0025872
T   17  8 .8424131E+08   1446606E+02 -.7919E+06 -.5554E+06   .9999772 -.0047347 -.0048157
T   18  8 .8421459E+08   1446606E+02  .3004E+06  .5360E+06   .9999830  .0006461  .0057963
