============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(109. MeV) ==> Upper Be+He Gas+Lower Be( 14.4 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z)
T    1  8 .6951695E+08   1448410E+02  .6422E+06  .1183E+07   .9999325  .0032387  .0111597
T    2  8 .6943396E+08   1448410E+02 -.2970E+07  .8363E+06   .9997764 -.0203686  .0056806
T    3  8 .6918162E+08   1448410E+02  .6743E+05  .3291E+06   .9999858 -.0020828  .0049067
T    4  8 .6969301E+08   1448410E+02 -.1891E+06 -.4208E+06   .9999932  .0026741 -.0025262
T    5  8 .6966534E+08   1448410E+02 -.2202E+06  .2292E+06   .9998909 -.0146984  .0014436
T    6  8 .6978713E+08   1448410E+02 -.1364E+06  .8087E+06   .9999439 -.0000610  .0105884
T    7  8 .6966281E+08   1448410E+02  .2124E+04  .6210E+06   .9999704 -.0004225  .0076846
T    8  8 .6912557E+08   1448410E+02  .4627E+06 -.3858E+06   .9999894 -.0031696 -.0033510
T    9  8 .6980713E+08   1448410E+02  .1848E+06 -.1039E+07   .9999929 -.0021370 -.0031041
T   10  8 .7009126E+08   1448410E+02  .5751E+06  .3975E+06   .9999526 -.0009774  .0096852
T   11  8 .6954193E+08   1448410E+02  .2958E+04  .9536E+05   .9999682  .0067500 -.0042484
T   12  8 .6973143E+08   1448410E+02 -.2431E+06 -.1716E+06   .9999982  .0003876  .0018443
T   13  8 .6927988E+08   1448410E+02 -.2339E+06  .1297E+06   .9999931 -.0027283  .0025012
T   14  8 .6918946E+08   1448410E+02  .3277E+06  .2516E+06   .9999974  .0010717 -.0020268
T   15  8 .6986067E+08   1448410E+02  .3985E+06  .3732E+05   .9999974  .0018399 -.0013142
T   16  8 .6951942E+08   1448410E+02 -.1628E+05 -.2337E+06   .9999932 -.0031585 -.0018909
