============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(116. MeV) ==> Upper Be+He Gas+Lower Be( 8.02 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z)
T    1  8 .1034146E+09   8020000E+01 -.6639E+05  .4601E+04   .9999996  .0001570  .0008243
T    2  8 .1031862E+09   8020000E+01 -.7461E+05  .1125E+06   .9998708 -.0051966 -.0152119
T    3  8 .1033985E+09   8020000E+01  .2062E+06  .1244E+05   .9999998 -.0005502  .0002899
T    4  8 .1033764E+09   8020000E+01  .1640E+06  .1514E+06   .9999941  .0033633  .0006338
T    5  8 .1031735E+09   8020000E+01 -.1846E+05  .1731E+05   .9999996  .0005374 -.0006932
T    6  8 .1037474E+09   8020000E+01  .1378E+05  .3675E+05   .9999991  .0012768  .0004556
T    7  8 .1035507E+09   8020000E+01  .1195E+05 -.7662E+05   .9999954 -.0011273 -.0028092
T    8  8 .1034349E+09   8020000E+01 -.1918E+06  .1522E+06   .9999954 -.0018661  .0023781
T    9  8 .1031960E+09   8020000E+01 -.1112E+05 -.1849E+06   .9999939 -.0017705 -.0030218
T   10  8 .1034175E+09   8020000E+01  .4926E+05 -.4374E+05   .9999896  .0028689  .0035433
T   11  8 .1033211E+09   8020000E+01 -.8022E+05 -.1572E+06   .9999980  .0005715 -.0018937
T   12  8 .1032244E+09   8020000E+01 -.6576E+05  .3650E+05   .9999944 -.0006747  .0032629
T   13  8 .1033158E+09   8020000E+01  .1121E+06  .1103E+06   .9999973  .0019792  .0012340
T   14  8 .1032192E+09   8020000E+01 -.7697E+05  .2612E+06   .9999808 -.0020072  .0058542
T   15  8 .1032207E+09   8020000E+01  .8703E+05 -.9520E+05   .9999912  .0041436 -.0006532
T   16  8 .1033264E+09   8020000E+01 -.9471E+05  .1551E+06   .9999974 -.0015049  .0017258
T   17  8 .1034758E+09   8020000E+01 -.1791E+06  .3224E+05   .9999886  .0042317 -.0022051
T   18  8 .1032012E+09   8020000E+01 -.1760E+06  .4628E+06   .9999780 -.0024343  .0061777
T   19  8 .1036620E+09   8020000E+01  .1399E+06  .3650E+05   .9999965  .0025373  .0007247
T   20  8 .1031921E+09   8020000E+01  .2914E+04  .8541E+05   .9999987 -.0012734  .0010032
T   21  8 .1033628E+09   8020000E+01 -.8656E+05 -.1045E+06   .9999961 -.0008544 -.0026534
T   22  8 .1033796E+09   8020000E+01 -.5818E+05 -.1021E+05   .9999927 -.0037556 -.0006720
T   23  8 .1032658E+09   8020000E+01  .5399E+05  .4630E+04   .9999999  .0000106  .0003412
T   24  8 .1035575E+09   8020000E+01  .2043E+06 -.1802E+06   .9999899  .0038010 -.0024167
T   25  8 .1033767E+09   8020000E+01  .2166E+05  .5433E+05   .9999957  .0028060 -.0008114
T   26  8 .1033708E+09   8020000E+01  .9304E+04 -.4254E+05   .9999989 -.0009223  .0011615
T   27  8 .1034224E+09   8020000E+01  .4789E+05  .5239E+05   .9999980  .0015707  .0012410
T   28  8 .1032911E+09   8020000E+01 -.1499E+05  .8462E+05   .9999987 -.0003360 -.0015479
T   29  8 .1034998E+09   8020000E+01 -.2270E+06  .4814E+05   .9999995 -.0006137 -.0008309
T   30  8 .1033803E+09   8020000E+01  .1537E+05  .1747E+06   .9999980  .0007538  .0018567
T   31  8 .1036165E+09   8020000E+01  .1102E+06  .1527E+06   .9999982 -.0002672  .0018937
T   32  8 .1033621E+09   8020000E+01 -.1291E+06  .1837E+06   .9999880  .0039882  .0028620
T   33  8 .1033360E+09   8020000E+01  .2658E+05 -.1022E+06   .9999984 -.0009114 -.0015282
T   34  8 .1034955E+09   8020000E+01 -.8092E+05  .2523E+05   .9999958 -.0026655  .0011472
T   35  8 .1033902E+09   8020000E+01  .4994E+05  .1871E+06   .9999928  .0008313  .0037102
T   36  8 .1032508E+09   8020000E+01 -.4842E+05 -.1061E+06   .9999997 -.0005573 -.0004996
T   37  8 .1033420E+09   8020000E+01 -.1237E+06  .1376E+06   .9999979  .0001976  .0020502
T   38  8 .1034799E+09   8020000E+01 -.1102E+06  .2913E+04   .9999995  .0006083  .0008471
T   39  8 .1034872E+09   8020000E+01  .1159E+07  .2463E+06   .9998941  .0144111  .0020499
T   40  8 .1032762E+09   8020000E+01  .1826E+06 -.8182E+05   .9999905  .0043452  .0002587
T   41  8 .1035978E+09   8020000E+01  .5024E+05 -.1964E+06   .9999955  .0022870 -.0019296
T   42  8 .1032707E+09   8020000E+01 -.1807E+05 -.2525E+05   .9999967 -.0021280 -.0014608
T   43  8 .1033995E+09   8020000E+01 -.2096E+06  .4899E+05   .9999970  .0013680  .0020505
T   44  8 .1032779E+09   8020000E+01  .3469E+06 -.8607E+05   .9999958  .0028743  .0002166
T   45  8 .1032381E+09   8020000E+01  .5377E+05 -.5935E+05   .9999970  .0003203  .0024287
T   46  8 .1034984E+09   8020000E+01  .3182E+05 -.9974E+06   .9998935  .0010037 -.0145581
T   47  8 .1032404E+09   8020000E+01 -.2016E+06 -.1318E+06   .9999951 -.0021534 -.0022895
T   48  8 .1033020E+09   8020000E+01 -.5868E+05  .6492E+05   .9999960  .0027975  .0003409
T   49  8 .1034802E+09   8020000E+01  .2361E+05  .1082E+06   .9999978  .0004500  .0020687
T   50  8 .1035583E+09   8020000E+01  .8003E+05 -.2869E+04   .9999950  .0022959 -.0021517
T   51  8 .1037321E+09   8020000E+01  .2820E+06 -.2532E+06   .9999765  .0040034 -.0055668
T   52  8 .1035845E+09   8020000E+01  .1330E+06 -.2208E+05   .9999999 -.0000761 -.0005125
T   53  8 .1033323E+09   8020000E+01 -.5437E+05  .9677E+05   .9999994 -.0002640  .0010414
T   54  8 .1033445E+09   8020000E+01  .2199E+06 -.9855E+05   .9999895  .0044304 -.0011604
T   55  8 .1034698E+09   8020000E+01 -.9495E+04  .2369E+05   .9999989 -.0004546 -.0013998
T   56  8 .1035035E+09   8020000E+01  .1079E+06 -.6146E+05   .9999985  .0013136 -.0011614
T   57  8 .1034630E+09   8020000E+01 -.2176E+06  .2723E+05   .9999847 -.0055117  .0003516
T   58  8 .1034557E+09   8020000E+01 -.9301E+05 -.1238E+06   .9999961 -.0019311 -.0020064
T   59  8 .1034387E+09   8020000E+01 -.1235E+06  .7226E+05   .9999979  .0010145  .0017806
T   60  8 .1031992E+09   8020000E+01  .2542E+06 -.1046E+06   .9999980 -.0014880 -.0013359
T   61  8 .1033757E+09   8020000E+01 -.5695E+05 -.5719E+05   .9999925  .0013061 -.0036486
T   62  8 .1038325E+09   8020000E+01 -.4674E+05 -.1200E+06   .9999970 -.0017928 -.0016408
T   63  8 .1036646E+09   8020000E+01  .1203E+06  .1193E+06   .9999696  .0043175  .0064902
T   64  8 .1033678E+09   8020000E+01  .1809E+06 -.7513E+05   .9999818  .0057729 -.0017536
T   65  8 .1034076E+09   8020000E+01 -.1233E+05  .1606E+06   .9999998 -.0000486  .0006680
T   66  8 .1031807E+09   8020000E+01 -.1525E+06  .1371E+05   .9999926 -.0037327  .0009728
T   67  8 .1031711E+09   8020000E+01 -.1372E+06 -.1404E+06   .9999982 -.0008042 -.0017287
T   68  8 .1034385E+09   8020000E+01  .2712E+05 -.7462E+05   .9999994 -.0001000 -.0011144
T   69  8 .1035143E+09   8020000E+01  .9228E+05  .1962E+06   .9999931  .0022890  .0029266
T   70  8 .1032634E+09   8020000E+01  .2890E+06 -.7200E+05   .9999952  .0021864 -.0022057
T   71  8 .1035136E+09   8020000E+01  .1507E+06 -.2108E+05   .9999945  .0032205 -.0008209
T   72  8 .1034450E+09   8020000E+01  .1110E+06 -.1666E+05   .9999989  .0014289 -.0004079
T   73  8 .1033152E+09   8020000E+01  .1452E+06  .1012E+06   .9999995  .0010157  .0001398
