============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(109. MeV) ==> Upper Be+He Gas+Lower Be( 8.03 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z)
T   54  8 .8900554E+08   8030000E+01 -.1195E+05  .1471E+06   .9999978  .0004044  .0020766
T   55  8 .8877772E+08   8030000E+01  .1922E+06 -.1657E+06   .9999887  .0037677 -.0029106
T   56  8 .8866303E+08   8030000E+01 -.1418E+06 -.2546E+05   .9999980 -.0007658 -.0018737
T   57  8 .8909289E+08   8030000E+01 -.1474E+05 -.6894E+04   .9999983  .0018348 -.0002525
T   58  8 .8895789E+08   8030000E+01  .1178E+06 -.5673E+05   .9999873  .0010184 -.0049426
T   59  8 .8869295E+08   8030000E+01  .1343E+06 -.6132E+05   .9999821  .0027583 -.0053130
T   60  8 .8891901E+08   8030000E+01  .6472E+05 -.1710E+06   .9999982  .0008053 -.0016900
T   61  8 .8903705E+08   8030000E+01 -.1043E+06  .1209E+06   .9999934 -.0035270  .0009258
T   62  8 .8936408E+08   8030000E+01 -.4933E+05  .2116E+06   .9999898 -.0044134  .0010034
T   63  8 .8886544E+08   8030000E+01 -.8323E+04  .4794E+05   .9999966  .0026059  .0000091
T   64  8 .8935793E+08   8030000E+01 -.7516E+05  .6630E+03   .9999954 -.0030292  .0000484
T   65  8 .8903367E+08   8030000E+01  .2397E+06 -.1743E+06   .9999953  .0026378 -.0015595
T   66  8 .8893110E+08   8030000E+01 -.2165E+06  .2531E+06   .9999744 -.0063713  .0032699
T   67  8 .8942241E+08   8030000E+01 -.9877E+05 -.1277E+06   .9999997 -.0006523  .0004126
T   68  8 .8890902E+08   8030000E+01  .1583E+06  .5261E+05   .9999985  .0017148 -.0000871
T   69  8 .8904697E+08   8030000E+01 -.5599E+04  .1391E+06   .9999926  .0026353  .0028082
T   70  8 .8894854E+08   8030000E+01  .2045E+06 -.1044E+06   .9999921  .0037729  .0012425
T   71  8 .8890061E+08   8030000E+01  .8491E+05  .2085E+05   .9999994 -.0007911 -.0008048
T   72  8 .8886297E+08   8030000E+01  .7209E+05 -.9022E+05   .9999986  .0004290  .0016426
T   73  8 .8900405E+08   8030000E+01 -.1788E+06  .2469E+06   .9999804  .0004140  .0062395
T   74  8 .8888084E+08   8030000E+01 -.1615E+06  .8953E+05   .9999944 -.0025778  .0021422
T   75  8 .8890109E+08   8030000E+01  .9077E+05 -.2673E+06   .9999758 -.0008461 -.0069041
T   76  8 .8896814E+08   8030000E+01 -.1292E+06  .4817E+05   .9999861 -.0052462  .0005911
T   77  8 .8882268E+08   8030000E+01 -.4437E+06  .8056E+06   .9999711 -.0021018  .0073012
T   78  8 .8876163E+08   8030000E+01 -.2253E+06 -.9766E+05   .9999829 -.0054214 -.0021964
T   79  8 .8930818E+08   8030000E+01 -.2195E+06  .5147E+05   .9999933 -.0031715 -.0018089
T   80  8 .8894298E+08   8030000E+01  .3263E+05  .2197E+06   .9999846 -.0008528  .0054924
T   81  8 .8876126E+08   8030000E+01  .9371E+04  .1111E+06   .9999960 -.0020506  .0019548
T   82  8 .8896897E+08   8030000E+01 -.1320E+06 -.1225E+06   .9999768 -.0048579 -.0047662
T   83  8 .8914361E+08   8030000E+01 -.6169E+05  .2304E+05   .9999998  .0006519  .0002383
T   84  8 .8889236E+08   8030000E+01  .9829E+05  .2165E+06   .9999986 -.0015771  .0005468
T   85  8 .8888243E+08   8030000E+01 -.1385E+06  .1487E+06   .9999936  .0013031  .0033326
T   86  8 .8864311E+08   8030000E+01  .1465E+06  .5542E+06   .9999394  .0028064  .0106440
T   87  8 .8913180E+08   8030000E+01 -.3225E+05 -.1081E+06   .9999880 -.0017470 -.0045687
T   88  8 .8909192E+08   8030000E+01 -.2749E+05 -.7694E+05   .9999981 -.0008035 -.0017991
T   89  8 .8899496E+08   8030000E+01 -.4646E+06  .8817E+04   .9999658 -.0074969  .0034975
T   90  8 .8894176E+08   8030000E+01  .2079E+06 -.2575E+06   .9999918  .0030882 -.0026053
T   91  8 .8925718E+08   8030000E+01  .2517E+05  .1118E+06   .9999966  .0019384  .0017504
T   92  8 .8889941E+08   8030000E+01  .8091E+05 -.2352E+05   .9999956  .0019895  .0021969
T   93  8 .8892748E+08   8030000E+01  .1906E+04  .9986E+05   .9999923 -.0027116 -.0028407
T   94  8 .8893935E+08   8030000E+01 -.1661E+06 -.3446E+06   .9999867  .0018686 -.0048108
T   95  8 .8898195E+08   8030000E+01  .1668E+06 -.2001E+06   .9999999 -.0000882  .0004881
T   96  8 .8904523E+08   8030000E+01  .2152E+06  .6218E+05   .9999897  .0016219  .0042303
T   97  8 .8921833E+08   8030000E+01 -.1481E+06  .2840E+06   .9999850 -.0050528  .0020934
T   98  8 .8896777E+08   8030000E+01  .4562E+05 -.4027E+04   .9999894 -.0012456 -.0044352
T   99  8 .8918897E+08   8030000E+01  .8613E+04  .1657E+06   .9999908  .0035347  .0024125
T  100  8 .8904574E+08   8030000E+01 -.2611E+06 -.1378E+06   .9999818 -.0035034 -.0049163
T  101  8 .8910102E+08   8030000E+01  .2103E+04 -.3578E+04   .9999955 -.0024077  .0017802
T  102  8 .8883787E+08   8030000E+01 -.3449E+05 -.3776E+06   .9999235 -.0058105 -.0109177
T  103  8 .8921191E+08   8030000E+01 -.2106E+06 -.7990E+05   .9999839 -.0033237 -.0046088
T  104  8 .8940453E+08   8030000E+01  .1491E+06 -.7378E+05   .9999955  .0024654 -.0016938
T  105  8 .8871362E+08   8030000E+01  .2350E+06  .1453E+06   .9999934  .0023613  .0027701
T  106  8 .8894795E+08   8030000E+01 -.1272E+04 -.5427E+06   .9999683 -.0007993 -.0079263
T  107  8 .8929232E+08   8030000E+01 -.2256E+06 -.2034E+06   .9999965 -.0024237 -.0010980
T  108  8 .8905793E+08   8030000E+01 -.3635E+05  .8294E+05   .9999978  .0006290  .0019869
T  109  8 .8900069E+08   8030000E+01 -.1204E+06  .2775E+06   .9999812 -.0037588  .0048394
T  110  8 .8900680E+08   8030000E+01  .8109E+04  .3265E+05   .9999968 -.0003790 -.0024870
T  111  8 .8910980E+08   8030000E+01  .9045E+05 -.2977E+06   .9999920 -.0035611 -.0018336
T  112  8 .8906807E+08   8030000E+01  .8384E+05 -.1068E+06   .9999898  .0034665 -.0028911
T  113  8 .8919782E+08   8030000E+01  .6602E+05  .2722E+04   .9999944  .0032562  .0007075
T  114  8 .8885379E+08   8030000E+01 -.2858E+06 -.1971E+06   .9999961 -.0025227 -.0011786
T  115  8 .8878160E+08   8030000E+01 -.2052E+05  .5179E+05   .9999918 -.0018193 -.0036056
T  116  8 .8893854E+08   8030000E+01 -.4706E+06  .1702E+06   .9999783 -.0057728  .0031895
T  117  8 .8882503E+08   8030000E+01 -.2732E+06  .8075E+05   .9999951 -.0002009  .0031185
T  118  8 .8902566E+08   8030000E+01  .3361E+06 -.1209E+06   .9999721  .0074025 -.0010373
T  119  8 .8886263E+08   8030000E+01  .6901E+05  .2127E+05   .9999968 -.0014175  .0021059
T  120  8 .8898224E+08   8030000E+01  .2792E+06  .9562E+05   .9999969  .0024650  .0003113
T  121  8 .8864172E+08   8030000E+01  .8239E+05  .3816E+06   .9999915  .0011497  .0039556
T  122  8 .8914753E+08   8030000E+01 -.2118E+05  .1608E+05   .9999979 -.0005774 -.0019672
T  123  8 .8881138E+08   8030000E+01 -.1989E+06  .2490E+05   .9999743 -.0067899  .0022984
T  124  8 .8872494E+08   8030000E+01  .4948E+05 -.9008E+05   .9999996 -.0006553  .0006622
T  125  8 .8884072E+08   8030000E+01  .2975E+05  .1611E+05   .9999997  .0003902  .0006963
T  126  8 .8901500E+08   8030000E+01 -.1906E+05 -.5024E+04   .9999997 -.0006305 -.0003550
T  127  8 .8915560E+08   8030000E+01  .2127E+06 -.8272E+05   .9999940  .0012220 -.0032539
T  128  8 .8888389E+08   8030000E+01 -.7032E+05 -.2341E+06   .9999831 -.0036593 -.0045124
T  129  8 .8881871E+08   8030000E+01 -.2144E+06  .4778E+05   .9999950 -.0024135 -.0020478
T  130  8 .8913779E+08   8030000E+01 -.4069E+05  .1872E+06   .9999911 -.0000890  .0042204
T  131  8 .8875628E+08   8030000E+01  .2675E+06  .1453E+05   .9999980  .0010066 -.0017294
T  132  8 .8903768E+08   8030000E+01  .1182E+06 -.1309E+06   .9999987  .0015907  .0002990
T  133  8 .8889416E+08   8030000E+01  .7240E+05  .2684E+06   .9999875  .0022683  .0044474
T  134  8 .8879732E+08   8030000E+01  .2289E+06 -.3992E+06   .9999905 -.0000504 -.0043610
T  135  8 .8883509E+08   8030000E+01 -.5907E+05  .1438E+06   .9999774  .0010331  .0066415
T  136  8 .8925881E+08   8030000E+01  .4852E+05 -.3895E+03   .9999979  .0020117 -.0004998
T  137  8 .8904327E+08   8030000E+01 -.6970E+05  .2669E+06   .9999761 -.0060135  .0034053
T  138  8 .8895906E+08   8030000E+01  .2481E+06  .2286E+05   .9999889  .0042866  .0019519
T  139  8 .8947220E+08   8030000E+01  .2095E+05  .1599E+05   .9999906 -.0030120 -.0031224
T  140  8 .8896084E+08   8030000E+01  .2130E+06 -.1265E+06   .9999449  .0066248 -.0081430
T  141  8 .8901248E+08   8030000E+01 -.6675E+04 -.6081E+05   .9999908  .0019759  .0038067
T  142  8 .8908508E+08   8030000E+01 -.2362E+06  .1576E+06   .9999936 -.0035574  .0002743
T  143  8 .8882853E+08   8030000E+01  .7425E+04 -.1638E+06   .9999994 -.0010019  .0005199
T  144  8 .8881906E+08   8030000E+01 -.1613E+06 -.6068E+05   .9999983  .0003265  .0018390
T  145  8 .8907128E+08   8030000E+01 -.8957E+04 -.1023E+06   .9999857 -.0043232 -.0031391
T  146  8 .8894274E+08   8030000E+01 -.1689E+05  .7844E+05   .9999944 -.0028307 -.0018037
T  147  8 .8900192E+08   8030000E+01  .2608E+06  .1053E+06   .9999926  .0032078  .0021464
T  148  8 .8895552E+08   8030000E+01  .4248E+05  .5223E+04   .9999928 -.0037624 -.0003866
T  149  8 .8899882E+08   8030000E+01  .1619E+06 -.2918E+06   .9999992  .0010824 -.0006842
T  150  8 .8908567E+08   8030000E+01  .3090E+05 -.8001E+05   .9999930 -.0035373  .0011928
T  151  8 .8905815E+08   8030000E+01 -.2264E+06 -.1168E+06   .9999683 -.0078317 -.0014297
T  152  8 .8928437E+08   8030000E+01 -.1034E+06  .1178E+06   .9999876 -.0043457  .0024239
T  153  8 .8860540E+08   8030000E+01  .8065E+05 -.1896E+06   .9999940  .0022486 -.0026532
T  154  8 .8900161E+08   8030000E+01 -.1586E+06 -.4166E+04   .9999993  .0000393  .0012017
T  155  8 .8894877E+08   8030000E+01 -.1099E+06 -.5129E+04   .9999929 -.0034148  .0015727
T  156  8 .8885809E+08   8030000E+01 -.1723E+07  .1522E+06   .9997733 -.0211986  .0019843
T  157  8 .8923164E+08   8030000E+01  .1562E+06  .2239E+05   .9999968  .0010913 -.0022920
T  158  8 .8893144E+08   8030000E+01 -.4466E+05  .7991E+05   .9999988  .0011331  .0010865
T  159  8 .8900225E+08   8030000E+01 -.2418E+06  .1190E+06   .9999884 -.0034890 -.0033200
T  160  8 .8902032E+08   8030000E+01 -.2778E+05  .1127E+06   .9999947 -.0015692  .0028460
T  161  8 .8917042E+08   8030000E+01 -.3984E+05 -.2491E+05   .9999996 -.0009054 -.0002259
T  162  8 .8903450E+08   8030000E+01 -.9971E+05  .1629E+06   .9999940 -.0024190  .0024637
T  163  8 .8896427E+08   8030000E+01 -.9941E+05 -.1930E+06   .9999835 -.0051808 -.0024892
