============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(116. MeV) ==> Upper Be+He Gas+Lower Be( 14.4 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z)
T    1  8 .9175799E+08   1446606E+02 -.2482E+06  .2255E+06   .9999924 -.0024380  .0030512
T    2  8 .9234015E+08   1446606E+02 -.2265E+05  .7278E+06   .9999346 -.0001966  .0114360
T    3  8 .9195069E+08   1446606E+02  .1047E+06 -.2085E+06   .9999949  .0014850 -.0028364
T    4  8 .9172250E+08   1446606E+02  .1557E+06  .2950E+06   .9999928 -.0006905  .0037385
T    5  8 .9216398E+08   1446606E+02 -.1930E+06 -.3058E+06   .9999908 -.0041045 -.0012751
T    6  8 .9177950E+08   1446606E+02  .1160E+06  .5101E+06   .9999908  .0017005  .0039325
T    7  8 .9196941E+08   1446606E+02 -.3719E+05  .3806E+06   .9999772 -.0018583  .0064859
T    8  8 .9188834E+08   1446606E+02 -.2303E+06 -.5276E+06   .9999859 -.0025335 -.0046575
T    9  8 .9195875E+08   1446606E+02  .1246E+06  .4378E+06   .9999761  .0046347  .0051247
T   10  8 .9217815E+08   1446606E+02  .2382E+06  .2024E+06   .9999891  .0013481  .0044657
T   11  8 .9186569E+08   1446606E+02 -.1273E+06 -.1759E+06   .9999979  .0019351  .0006387
T   12  8 .9215299E+08   1446606E+02  .4773E+06 -.2702E+06   .9999986  .0003072  .0016340
