============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(116. MeV) ==> Upper Be+He Gas+Lower Be( 8.03 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z)
T    1  8 .9666991E+08   8030000E+01 -.1481E+06  .1038E+06   .9999986 -.0004490  .0015858
T    2  8 .9684588E+08   8030000E+01 -.7320E+04  .1831E+06   .9999869  .0000893  .0051125
T    3  8 .9715337E+08   8030000E+01 -.1026E+06 -.2856E+04   .9999961 -.0026607 -.0008098
T    4  8 .9665098E+08   8030000E+01  .2442E+06  .2534E+05   .9999959  .0028498  .0002685
T    5  8 .9683052E+08   8030000E+01  .1440E+06  .7243E+05   .9999962  .0013698  .0023807
T    6  8 .9666503E+08   8030000E+01 -.3848E+05  .7765E+05   .9999875  .0018698  .0046393
T    7  8 .9692552E+08   8030000E+01 -.3493E+05  .6293E+04   .9999991 -.0011855 -.0006974
T    8  8 .9692971E+08   8030000E+01 -.1012E+06 -.9415E+05   .9999961 -.0025402  .0011361
T    9  8 .9666122E+08   8030000E+01 -.2347E+06 -.1640E+06   .9999956 -.0021702 -.0020227
T   10  8 .9692156E+08   8030000E+01 -.1555E+06 -.8021E+04   .9999929 -.0031600 -.0020496
T   11  8 .9698902E+08   8030000E+01  .4116E+05  .1625E+06   .9999899  .0006445  .0044439
T   12  8 .9660391E+08   8030000E+01 -.3843E+06 -.2277E+06   .9999843 -.0032097  .0045874
T   13  8 .9662339E+08   8030000E+01  .4484E+05  .5906E+05   .9999965  .0026059  .0005040
T   14  8 .9688856E+08   8030000E+01 -.2219E+05  .5699E+05   .9999987 -.0016160 -.0002117
T   15  8 .9655951E+08   8030000E+01 -.8960E+05 -.1751E+06   .9999999  .0003956  .0002933
T   16  8 .9680154E+08   8030000E+01 -.8111E+05 -.1343E+06   .9998536  .0098525 -.0139921
T   17  8 .9676109E+08   8030000E+01 -.9658E+04  .1243E+06   .9999901  .0027107 -.0035380
T   18  8 .9678295E+08   8030000E+01 -.3403E+06  .9638E+05   .9999944 -.0027687 -.0018576
T   19  8 .9665593E+08   8030000E+01 -.7008E+05  .3237E+05   .9999932 -.0009959  .0035495
T   20  8 .9678872E+08   8030000E+01 -.1635E+06  .1027E+06   .9999703 -.0073312 -.0023969
T   21  8 .9692471E+08   8030000E+01 -.1203E+06  .1344E+06   .9999934 -.0020522  .0030142
T   22  8 .9669902E+08   8030000E+01 -.1351E+06 -.5596E+05   .9999914  .0019672  .0036549
T   23  8 .9666109E+08   8030000E+01  .2387E+05 -.1789E+06   .9999937 -.0012927 -.0032937
